,Date,Open,High,Low,Price,Volume
0,2015-11-03,543.55,546.0,539.6,542.1,47793
1,2015-11-04,542.0,548.95,538.25,541.15,50777
2,2015-11-05,541.0,541.0,535.0,539.55,28206
3,2015-11-06,540.0,544.2,538.5,540.4,26265
4,2015-11-09,533.0,534.7,526.6,532.85,164091
5,2015-11-10,532.0,532.0,526.05,527.15,96155
6,2015-11-11,531.0,532.5,525.5,526.95,31289
7,2015-11-13,526.0,529.5,520.25,525.55,61227
8,2015-11-16,524.75,532.0,523.35,529.0,70711
9,2015-11-17,533.0,533.5,526.0,530.4,75769
10,2015-11-18,530.5,533.1,523.5,524.2,67525
11,2015-11-19,526.6,535.15,525.05,534.25,32794
12,2015-11-20,534.15,539.85,530.15,534.45,61638
13,2015-11-23,535.4,537.7,530.0,532.65,29463
14,2015-11-24,533.0,536.6,531.0,531.95,27969
15,2015-11-26,532.0,533.7,529.25,532.25,31768
16,2015-11-27,531.5,540.3,531.1,539.3,39265
17,2015-11-30,542.25,542.25,535.5,537.95,50673
18,2015-12-01,536.5,541.5,536.5,540.7,37709
19,2015-12-02,542.5,545.45,535.65,537.55,25212
20,2015-12-03,537.55,540.5,534.2,537.8,32601
21,2015-12-04,535.15,536.25,529.3,530.1,34099
22,2015-12-07,533.5,536.0,530.55,531.2,43044
23,2015-12-08,531.0,531.0,523.5,524.65,30181
24,2015-12-09,524.65,528.2,522.9,524.2,41481
25,2015-12-10,525.0,531.6,522.25,530.3,47513
26,2015-12-11,525.0,530.5,521.1,522.9,31116
27,2015-12-14,522.9,529.5,520.0,527.65,35810
28,2015-12-15,527.0,530.5,523.0,528.55,27873
29,2015-12-16,532.5,536.55,530.1,533.5,47844
30,2015-12-17,539.95,541.35,532.75,539.9,67115
31,2015-12-18,540.0,542.6,534.0,536.4,42166
32,2015-12-21,537.4,539.7,534.8,537.35,26833
33,2015-12-22,538.0,538.1,527.3,532.45,278034
34,2015-12-23,535.0,539.0,534.75,536.8,48962
35,2015-12-24,537.25,537.85,534.45,537.0,19849
36,2015-12-28,537.5,539.5,533.7,538.0,53034
37,2015-12-29,539.05,540.0,535.75,539.05,18201
38,2015-12-30,539.95,540.85,536.4,537.05,34370
39,2015-12-31,538.0,542.5,538.0,541.35,39713
40,2016-01-01,542.45,545.0,538.0,544.3,30215
41,2016-01-04,543.5,543.5,534.5,535.4,59292
42,2016-01-05,539.0,539.0,530.0,530.85,52076
43,2016-01-06,530.85,538.35,530.0,532.65,48538
44,2016-01-07,531.25,532.15,524.1,526.45,152050
45,2016-01-08,531.5,532.0,528.65,530.9,26405
46,2016-01-11,529.0,530.85,522.75,528.8,93228
47,2016-01-12,529.0,530.05,522.1,524.75,34660
48,2016-01-13,528.0,531.1,519.5,529.6,471141
49,2016-01-14,525.0,528.45,519.6,524.75,72445
50,2016-01-15,524.75,527.8,518.5,521.4,203059
51,2016-01-18,512.5,520.45,512.15,514.55,201908
52,2016-01-19,514.55,519.35,513.6,517.75,275542
53,2016-01-20,517.0,517.0,504.15,508.6,171427
54,2016-01-21,513.0,516.45,507.0,511.8,73248
55,2016-01-22,513.0,521.5,513.0,515.15,83073
56,2016-01-25,517.5,523.4,516.6,519.95,135176
57,2016-01-27,524.75,524.75,516.2,517.9,81495
58,2016-01-28,517.95,523.0,515.0,516.25,41160
59,2016-01-29,516.2,526.5,516.2,524.45,42525
60,2016-02-01,527.5,533.45,527.1,530.6,40785
61,2016-02-02,530.6,532.5,526.25,527.75,37375
62,2016-02-03,524.5,525.6,520.85,521.9,26497
63,2016-02-04,525.0,527.4,523.4,525.15,84451
64,2016-02-05,525.5,531.5,524.5,528.2,41466
65,2016-02-08,528.0,529.05,515.0,518.6,30850
66,2016-02-09,515.0,515.7,510.9,513.0,73327
67,2016-02-10,513.0,514.95,505.5,506.9,57691
68,2016-02-11,508.0,508.0,485.4,488.0,111874
69,2016-02-12,491.0,493.2,483.3,486.65,239758
70,2016-02-15,498.0,498.0,485.0,487.1,242326
71,2016-02-16,490.0,490.0,481.25,486.7,138731
72,2016-02-17,487.6,490.0,479.55,487.6,97747
73,2016-02-18,491.5,495.35,488.5,494.8,190408
74,2016-02-19,494.5,496.75,487.0,494.0,58827
75,2016-02-22,497.0,498.0,492.5,495.45,95643
76,2016-02-23,495.5,495.5,483.0,484.95,161039
77,2016-02-24,481.5,481.5,472.85,474.75,85960
78,2016-02-25,476.05,478.7,471.0,473.35,103799
79,2016-02-26,474.95,485.25,473.0,479.9,84039
80,2016-02-29,481.0,491.25,464.4,486.25,208732
81,2016-03-01,490.0,493.25,486.25,492.5,64007
82,2016-03-02,497.0,505.3,497.0,504.0,92720
83,2016-03-03,503.5,509.85,503.5,506.9,65819
84,2016-03-04,507.5,512.5,497.1,510.5,81762
85,2016-03-08,510.2,511.1,505.0,507.9,36908
86,2016-03-09,508.0,515.0,503.5,512.95,76447
87,2016-03-10,512.5,512.5,505.5,510.35,46331
88,2016-03-11,510.6,515.5,506.7,514.2,64039
89,2016-03-14,514.2,518.9,512.8,513.9,74941
90,2016-03-15,515.0,515.0,510.75,513.65,2031246
91,2016-03-16,515.05,517.0,509.8,515.35,797218
92,2016-03-17,517.5,519.75,505.65,508.9,74008
93,2016-03-18,509.5,515.6,508.25,514.3,63140
94,2016-03-21,514.2,523.0,514.2,522.1,84463
95,2016-03-22,523.0,528.25,520.5,526.85,40148
96,2016-03-23,526.4,526.4,520.2,524.4,169355
97,2016-03-28,522.5,526.5,520.9,523.8,105294
98,2016-03-29,523.8,529.6,522.25,526.6,51499
99,2016-03-30,529.2,534.9,526.75,532.4,69584
100,2016-03-31,531.0,539.35,531.0,535.6,63483
101,2016-04-01,533.0,536.5,528.5,532.45,37705
102,2016-04-04,534.8,536.2,532.15,534.65,35026
103,2016-04-05,534.0,538.3,527.6,529.15,79235
104,2016-04-06,529.7,533.4,528.35,532.25,43618
105,2016-04-07,535.5,535.5,523.6,528.0,39965
106,2016-04-08,526.5,531.55,526.5,529.4,139221
107,2016-04-11,530.0,536.75,521.5,531.55,39983
108,2016-04-12,533.5,535.6,530.0,532.0,433906
109,2016-04-13,535.4,542.25,535.4,540.6,99786
110,2016-04-18,542.5,546.1,536.0,544.15,54124
111,2016-04-20,545.5,549.9,542.15,548.3,111226
112,2016-04-21,550.0,552.45,544.0,544.75,58667
113,2016-04-22,545.9,550.45,542.85,546.15,158523
114,2016-04-25,550.0,550.0,542.8,547.5,44329
115,2016-04-26,546.0,557.5,546.0,556.25,102274
116,2016-04-27,556.0,562.5,555.0,562.15,88004
117,2016-04-28,560.55,568.0,552.5,557.3,61629
118,2016-04-29,555.6,568.0,553.4,566.7,146497
119,2016-05-02,564.5,565.35,557.5,558.95,40322
120,2016-05-03,560.0,567.45,556.95,558.7,144609
121,2016-05-04,558.0,567.0,556.85,563.4,70948
122,2016-05-05,563.5,567.5,561.5,566.0,43102
123,2016-05-06,567.0,567.0,559.4,560.0,27212
124,2016-05-09,560.0,572.4,560.0,570.9,55906
125,2016-05-10,570.45,573.4,568.0,573.0,32699
126,2016-05-11,568.95,572.7,565.0,569.5,37435
127,2016-05-12,570.65,575.5,566.5,574.95,95490
128,2016-05-13,574.05,574.05,565.25,570.75,229422
129,2016-05-16,571.6,582.95,566.4,581.5,72248
130,2016-05-17,582.5,584.95,575.7,576.8,46254
131,2016-05-18,576.5,576.5,566.1,570.45,68849
132,2016-05-19,570.0,570.75,566.2,568.45,38778
133,2016-05-20,569.1,574.1,568.05,570.15,32117
134,2016-05-23,570.5,574.6,567.0,568.55,33748
135,2016-05-24,567.65,571.1,567.65,570.35,32602
136,2016-05-25,572.85,587.75,572.85,586.3,69551
137,2016-05-26,589.3,592.5,583.0,591.2,85274
138,2016-05-27,591.2,594.8,588.5,593.65,125932
139,2016-05-30,593.65,597.4,589.0,590.0,41792
140,2016-05-31,590.4,592.1,588.7,590.25,106967
141,2016-06-01,590.45,590.45,585.9,587.8,231188
142,2016-06-02,587.75,590.0,585.6,587.6,430672
143,2016-06-03,590.0,592.95,584.95,586.05,37990
144,2016-06-06,585.5,591.0,585.05,585.5,84140
145,2016-06-07,587.5,589.75,584.0,588.0,114426
146,2016-06-08,587.5,589.15,580.3,581.2,114005
147,2016-06-09,581.0,581.4,576.25,579.95,107040
148,2016-06-10,579.7,586.45,578.1,580.6,106397
149,2016-06-13,577.5,581.5,575.5,576.6,66285
150,2016-06-14,576.45,578.2,572.1,575.8,78531
151,2016-06-15,575.95,585.1,575.95,583.0,126120
152,2016-06-16,584.6,584.6,577.9,581.15,94272
153,2016-06-17,583.95,589.1,583.0,584.6,232710
154,2016-06-20,580.0,589.5,580.0,586.2,62423
155,2016-06-21,586.4,586.4,580.95,583.6,25567
156,2016-06-22,583.95,587.5,583.0,584.0,47622
157,2016-06-23,584.5,596.15,584.35,594.85,143280
158,2016-06-24,581.25,585.5,573.3,580.85,123607
159,2016-06-27,582.5,584.25,576.45,579.0,41785
160,2016-06-28,581.45,586.5,578.5,583.9,180447
161,2016-06-29,582.5,584.5,580.0,584.5,231488
162,2016-06-30,585.0,589.5,581.15,587.95,53606
163,2016-07-01,589.45,592.3,585.6,586.95,57565
164,2016-07-04,588.75,589.35,584.6,585.75,92026
165,2016-07-05,586.0,586.0,581.0,584.95,33565
166,2016-07-06,534.0,613.0,526.0,585.0,750
167,2016-07-07,584.5,594.3,580.5,591.85,175881
168,2016-07-08,593.5,593.5,585.25,586.1,62833
169,2016-07-11,592.5,600.65,592.05,599.15,355332
170,2016-07-12,602.5,602.5,597.25,599.75,226446
171,2016-07-13,599.5,600.6,596.4,597.1,197630
172,2016-07-14,600.0,600.95,596.25,600.1,135040
173,2016-07-15,602.5,613.1,597.6,611.8,200004
174,2016-07-18,612.5,619.25,611.25,615.35,120828
175,2016-07-19,616.0,616.0,607.1,609.0,124918
176,2016-07-20,613.0,618.6,613.0,616.05,251394
177,2016-07-21,615.95,619.75,611.7,614.2,153646
178,2016-07-22,615.0,617.5,610.8,615.7,43777
179,2016-07-25,617.5,624.5,612.6,623.25,94717
180,2016-07-26,622.5,622.75,618.05,620.0,80518
181,2016-07-27,621.0,623.85,615.0,618.45,41129
182,2016-07-28,619.5,625.0,617.55,623.95,58649
183,2016-07-29,624.0,624.65,617.5,623.25,52810
184,2016-08-01,624.0,629.4,614.2,620.8,60526
185,2016-08-02,622.75,628.0,620.0,622.05,38489
186,2016-08-03,620.0,624.8,615.5,620.5,53908
187,2016-08-04,622.75,623.2,617.0,623.2,107480
188,2016-08-05,622.5,627.9,621.0,624.5,115873
189,2016-08-08,627.0,627.35,622.1,624.95,35386
190,2016-08-09,627.05,627.05,618.5,623.7,46566
191,2016-08-10,625.0,625.5,611.5,611.5,53304
192,2016-08-11,611.85,617.45,611.75,614.15,27695
193,2016-08-12,616.5,617.5,610.0,613.75,34376
194,2016-08-16,617.7,618.5,607.95,612.95,93549
195,2016-08-17,615.05,618.6,613.5,618.6,29894
196,2016-08-18,620.0,626.6,618.25,625.6,770886
197,2016-08-19,626.0,626.0,620.4,622.45,34451
198,2016-08-22,622.45,627.0,620.65,624.5,235344
199,2016-08-23,627.75,627.75,623.0,625.9,71526
200,2016-08-24,624.25,632.25,624.0,631.1,111952
201,2016-08-25,633.75,633.75,627.25,628.6,93444
202,2016-08-26,629.0,630.85,626.5,628.95,50176
203,2016-08-29,628.85,628.85,617.6,619.15,84868
204,2016-08-30,622.95,642.5,622.0,633.75,123139
205,2016-08-31,635.0,647.35,632.75,645.35,97794
206,2016-09-01,643.0,644.4,638.05,640.1,69360
207,2016-09-02,642.75,644.25,640.75,642.2,62576
208,2016-09-06,643.0,652.5,643.0,649.5,82214
209,2016-09-07,650.0,652.5,641.55,643.85,35953
210,2016-09-08,643.25,647.35,641.75,644.3,78554
211,2016-09-09,645.0,646.9,639.5,645.25,111542
212,2016-09-12,637.5,642.85,636.35,642.85,57974
213,2016-09-14,637.5,638.45,632.75,636.45,509354
214,2016-09-15,636.5,642.7,635.75,639.75,50893
215,2016-09-16,644.8,652.5,643.1,649.0,93370
216,2016-09-19,649.0,651.0,644.0,644.35,68618
217,2016-09-20,645.05,646.0,642.1,643.8,129506
218,2016-09-21,646.0,649.15,644.0,646.3,32377
219,2016-09-22,653.35,657.75,650.15,654.5,96996
220,2016-09-23,653.8,659.1,651.5,656.55,119673
221,2016-09-26,655.0,655.0,646.6,648.4,27892
222,2016-09-27,650.0,652.95,647.1,648.85,188701
223,2016-09-28,650.5,650.5,644.5,648.65,138577
224,2016-09-29,648.35,653.0,636.15,638.5,128407
225,2016-09-30,639.0,640.95,633.6,635.85,51190
226,2016-10-03,640.0,645.0,638.6,644.0,70353
227,2016-10-04,644.9,647.5,641.25,644.75,51079
228,2016-10-05,649.95,649.95,638.5,642.9,98743
229,2016-10-06,644.0,647.5,639.9,641.35,46469
230,2016-10-07,641.35,643.5,638.0,640.55,45794
231,2016-10-10,642.45,643.8,639.5,642.2,22888
232,2016-10-13,640.5,640.5,628.5,631.95,73563
233,2016-10-14,632.5,633.9,620.0,632.25,63151
234,2016-10-17,635.0,635.0,616.5,618.9,53710
235,2016-10-18,622.5,630.0,620.05,628.7,54177
236,2016-10-19,633.0,633.0,624.0,629.25,238390
237,2016-10-20,630.0,633.5,625.75,627.65,43337
238,2016-10-21,628.0,636.1,625.1,635.15,42083
239,2016-10-24,636.0,637.95,631.5,632.7,46712
240,2016-10-25,632.4,632.4,622.35,625.2,128111
241,2016-10-26,622.45,627.1,617.6,620.2,94274
242,2016-10-27,618.5,627.2,612.5,624.35,81738
243,2016-10-28,626.0,630.4,620.95,630.0,129086
244,2016-10-30,632.45,632.5,625.5,626.85,32135
245,2016-11-01,626.85,631.5,625.0,630.0,84334
246,2016-11-02,625.5,627.5,621.25,623.0,122808
247,2016-11-03,620.0,629.95,616.1,626.5,74201
248,2016-11-04,625.0,625.5,621.0,621.85,314855
249,2016-11-07,625.0,627.0,620.0,624.95,109438
250,2016-11-08,622.5,628.6,620.5,627.5,233898
251,2016-11-09,610.0,629.25,598.25,628.5,649922
252,2016-11-10,632.5,641.0,627.5,638.1,258623
253,2016-11-11,638.5,640.5,634.45,640.0,273981
254,2016-11-15,640.5,644.0,626.0,627.6,115206
255,2016-11-16,632.75,632.75,620.5,621.95,61907
256,2016-11-17,619.5,624.5,612.6,614.85,92025
257,2016-11-18,616.0,617.45,604.15,605.8,61361
258,2016-11-21,609.85,609.85,594.65,599.25,60634
259,2016-11-22,602.5,602.5,594.65,599.5,74010
260,2016-11-23,602.5,602.5,590.6,592.45,50008
261,2016-11-24,592.45,593.4,581.75,583.45,115868
262,2016-11-25,585.5,596.7,579.65,594.55,107925
263,2016-11-28,590.4,599.2,590.0,592.65,113133
264,2016-11-29,592.5,595.9,588.3,589.5,47735
265,2016-11-30,590.35,600.85,590.35,599.5,67014
266,2016-12-01,604.9,604.9,596.0,596.0,35286
267,2016-12-02,595.0,601.4,589.0,595.6,199694
268,2016-12-05,595.0,599.0,589.5,597.85,187458
269,2016-12-06,597.9,601.35,595.25,596.6,47023
270,2016-12-07,600.0,602.9,584.35,590.55,100572
271,2016-12-08,594.9,602.2,594.8,599.95,55949
272,2016-12-09,599.95,601.25,594.3,599.05,61478
273,2016-12-12,595.0,595.7,590.5,591.9,33991
274,2016-12-13,590.5,595.4,590.15,592.9,87425
275,2016-12-14,593.25,593.25,586.8,587.1,142933
276,2016-12-15,584.5,596.75,582.5,588.25,122959
277,2016-12-16,588.5,592.6,586.0,588.5,65253
278,2016-12-19,590.0,590.0,585.75,588.35,55393
279,2016-12-20,588.0,593.0,586.0,593.0,74257
280,2016-12-21,591.0,592.2,587.25,589.95,36838
281,2016-12-22,590.0,590.0,584.5,586.25,37436
282,2016-12-23,586.6,594.5,585.15,594.5,55215
283,2016-12-26,594.4,594.4,585.5,588.0,92906
284,2016-12-27,587.9,593.5,587.4,593.4,78190
285,2016-12-28,593.45,597.9,591.0,594.0,89848
286,2016-12-29,592.9,603.25,591.45,600.7,70267
287,2016-12-30,600.7,605.05,600.0,600.0,140948
288,2017-01-02,604.5,604.6,596.2,598.65,170356
289,2017-01-03,600.0,600.5,593.0,595.2,67378
290,2017-01-04,595.3,596.45,592.25,595.15,155393
291,2017-01-05,599.75,599.75,591.25,591.7,845935
292,2017-01-06,594.9,599.1,593.2,596.6,193430
293,2017-01-09,600.0,601.8,595.6,597.45,368394
294,2017-01-10,598.75,607.5,598.0,606.15,870952
295,2017-01-11,610.05,619.0,609.5,616.3,298965
296,2017-01-12,619.0,621.6,612.6,617.25,55190
297,2017-01-13,619.0,619.95,614.25,616.3,33305
298,2017-01-16,618.95,625.0,617.3,623.8,4422627
299,2017-01-17,624.95,626.25,618.0,618.5,42482
300,2017-01-18,621.0,627.7,620.5,621.95,40530
301,2017-01-19,621.95,621.95,616.55,617.4,42162
302,2017-01-20,618.15,622.35,615.6,617.55,34503
303,2017-01-23,617.5,624.95,617.5,624.5,33969
304,2017-01-24,625.8,635.5,625.0,633.85,133091
305,2017-01-25,637.5,645.85,635.15,643.75,96347
306,2017-01-27,649.25,650.0,644.0,647.0,78143
307,2017-01-30,645.5,647.05,640.05,642.4,54254
308,2017-01-31,639.5,646.2,639.0,643.45,74196
309,2017-02-01,644.0,655.0,640.25,653.1,125790
310,2017-02-02,652.5,652.5,646.0,649.25,267516
311,2017-02-03,653.1,658.25,648.0,653.35,94515
312,2017-02-06,659.0,660.0,656.05,656.85,48116
313,2017-02-07,657.5,657.95,651.6,653.7,55781
314,2017-02-08,655.05,659.05,649.1,653.4,67582
315,2017-02-09,653.6,659.6,647.0,651.0,65789
316,2017-02-10,651.2,654.65,649.5,653.5,40021
317,2017-02-13,655.0,657.5,649.8,656.3,46102
318,2017-02-14,654.65,657.0,652.5,655.3,37584
319,2017-02-15,657.0,662.4,654.35,658.5,119363
320,2017-02-16,662.0,666.6,660.0,663.65,72740
321,2017-02-17,725.0,725.0,680.75,688.55,5524506
322,2017-02-20,680.05,708.0,680.05,703.6,183585
323,2017-02-21,700.0,709.5,698.8,706.15,178166
324,2017-02-22,706.65,709.0,697.8,699.6,79301
325,2017-02-23,702.2,710.0,694.0,697.5,106360
326,2017-02-27,696.0,700.0,690.0,696.9,62863
327,2017-02-28,696.5,698.15,692.5,694.6,34267
328,2017-03-01,698.15,698.55,692.6,694.9,33357
329,2017-03-02,699.5,699.5,688.3,689.75,678465
330,2017-03-03,694.0,694.0,684.6,688.25,35120
331,2017-03-06,690.0,694.55,687.5,690.15,42998
332,2017-03-07,691.0,694.5,688.6,693.05,63520
333,2017-03-08,693.05,699.25,690.4,695.7,529926
334,2017-03-09,693.5,699.0,692.5,697.5,25769
335,2017-03-10,699.25,702.5,697.0,700.1,102113
336,2017-03-14,712.45,712.45,703.8,704.9,588376
337,2017-03-15,705.0,709.5,704.95,708.7,82820
338,2017-03-16,708.7,711.0,707.0,709.1,65591
339,2017-03-17,709.1,714.0,705.65,713.0,85908
340,2017-03-20,712.5,719.5,712.2,717.5,76929
341,2017-03-21,718.0,722.5,718.0,720.75,150877
342,2017-03-22,713.95,718.0,713.1,716.0,1402181
343,2017-03-23,716.95,717.5,712.0,713.0,1309981
344,2017-03-24,715.35,717.25,711.0,712.4,612426
345,2017-03-27,712.4,712.4,703.0,705.7,324653
346,2017-03-28,709.0,712.5,706.6,709.35,1002583
347,2017-03-29,710.0,717.25,709.55,713.9,85062
348,2017-03-30,713.5,738.95,713.5,731.85,203813
349,2017-03-31,726.85,726.85,718.5,721.15,130258
350,2017-04-03,724.4,724.4,714.75,716.35,53478
351,2017-04-04,713.5,713.5,713.5,713.5,1
352,2017-04-05,722.0,723.0,715.0,716.7,65517
353,2017-04-06,716.15,719.85,713.3,717.95,116766
354,2017-04-07,712.5,723.25,712.5,715.0,46398
355,2017-04-10,719.0,720.7,715.75,717.5,46728
356,2017-04-11,718.75,720.85,715.8,717.75,165913
